ind,pop,utmx,utmy,utmzone,sex,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
Tig1,1,5795898.188,357703.5325,55,m,215,215,204,204,251,251,216,230,206,206
Tig2,1,5803343.417,350142.1221,55,m,221,221,208,208,251,255,228,230,206,206
Tig3,1,5801204.352,352743.7401,55,m,221,221,192,208,255,255,216,230,206,206
Tig4,1,5801886.25,354222.8859,55,m,221,223,191,206,251,255,216,216,210,210
Tig5,1,5803829.053,348128.3026,55,f,211,221,206,206,255,255,216,216,206,206
Tig6,1,5801400.898,353150.0323,55,f,213,219,192,206,247,251,228,228,206,206
Tig7,1,5803862.387,355533.8818,55,f,215,221,204,204,249,251,216,222,206,206
Tig8,1,5801675.81,355501.5889,55,m,211,223,190,206,247,251,216,216,206,206
Tig9,1,5802242.992,356195.0534,55,m,211,221,192,206,245,255,216,216,206,206
Tig10,1,5801719.23,351719.8542,55,m,211,211,202,206,249,251,216,216,206,206
Tig11,2,5803408.167,346983.9299,55,j,211,223,192,206,245,255,216,216,206,206
Tig12,2,5810038.725,351918.5446,55,j,211,211,202,202,251,253,214,216,202,202
Tig13,2,5809962.23,352070.7793,55,j,211,221,206,206,247,251,214,214,206,210
Tig14,2,5810038.725,351918.5446,55,j,211,219,206,206,251,251,216,216,206,206
Tig15,2,5795344.206,390741.7912,55,j,219,221,204,206,255,255,216,216,206,210
Tig16,2,5784985.083,392517.4563,55,m,221,223,214,214,251,251,216,216,206,208
Tig17,2,5784284.99,395880.9315,55,f,219,223,206,206,0,0,216,216,206,206
Tig18,2,5784278.864,395825.2131,55,m,219,223,202,212,251,251,214,216,200,206
Tig19,2,5784993.498,401225.675,55,f,219,223,204,206,251,251,216,216,206,206
Tig20,2,5795332.02,390762.6927,55,m,211,219,204,206,247,251,216,216,210,210
